state,year,below_poverty_line_percent,median_household_income,mean cash public assistance income (dollars)
maryland,2021,0.04973821989528794,0.8759088881118038,0.4084318962228157
maryland,2022,0.0523560209424084,0.9606781541281306,0.4809233117130866
massachusetts,2010,0.08376963350785341,0.5512775680987809,0.5371995421594811
massachusetts,2011,0.08900523560209422,0.5690272636287999,0.5827928271652041
massachusetts,2012,0.09685863874345549,0.5771906765865599,0.6056848531095002
massachusetts,2013,0.10732984293193717,0.5796987857375409,0.6056848531095002
massachusetts,2014,0.112565445026178,0.5915158384681241,0.574017550553224
massachusetts,2015,0.112565445026178,0.6001615801087651,0.5267073636016788
massachusetts,2016,0.10732984293193717,0.6289927771279739,0.4681419305608546
massachusetts,2017,0.09947643979057591,0.6677358285803862,0.43895459748187715
massachusetts,2018,0.09162303664921467,0.7064547635986543,0.41301030141167494
massachusetts,2019,0.07853403141361258,0.7527221425040094,0.3994658527279664
massachusetts,2020,0.06544502617801048,0.7909466906223246,0.4057611598626478
massachusetts,2021,0.06806282722513089,0.8469088760535867,0.5482640213658909
massachusetts,2022,0.06806282722513089,0.9370922815352521,0.6207554368561617
michigan,2010,0.19633507853403143,0.3574176122318554,0.2701259061426936
michigan,2011,0.21989528795811514,0.36027540967792504,0.3037008775276612
michigan,2012,0.23560209424083767,0.3578878826976643,0.317626859977108
michigan,2013,0.24869109947643978,0.3571643896733429,0.3071346814193056
michigan,2014,0.25130890052356014,0.3653157444140309,0.2953071346814193
michigan,2015,0.24607329842931933,0.37121221256225057,0.240747806180847
michigan,2016,0.23560209424083767,0.38600764490962364,0.21613887829072873
michigan,2017,0.21727748691099477,0.4084962197489479,0.1890499809233117
michigan,2018,0.20157068062827224,0.4358683725024418,0.19152995040061047
michigan,2019,0.18586387434554974,0.46246879936332613,0.1770316673025563
michigan,2020,0.1675392670157068,0.48767047304385575,0.2052651659671881
michigan,2021,0.15706806282722513,0.5355174783856459,0.341854254101488
michigan,2022,0.1518324607329843,0.5994622035185877,0.4151087371232354
minnesota,2010,0.08638743455497382,0.4636625628534565,0.2655475009538344
minnesota,2011,0.09685863874345549,0.47853034450326176,0.28824876001526134
minnesota,2012,0.10209424083769632,0.48636818560007716,0.30961465089660434
minnesota,2013,0.10994764397905758,0.494929519721214,0.31400228920259443
minnesota,2014,0.10994764397905758,0.5068912710566615,0.2890118275467379
minnesota,2015,0.10471204188481677,0.5148979271924853,0.2485692483784815
minnesota,2016,0.09162303664921467,0.5356983516417263,0.24151087371232355
minnesota,2017,0.08376963350785341,0.5656268464144891,0.2254864555513163
minnesota,2018,0.07329842931937172,0.5983287311138175,0.22510492178557803
minnesota,2019,0.06282722513089004,0.6332372695373262,0.24513544448683708
minnesota,2020,0.0523560209424084,0.6582701281788474,0.259252193819153
minnesota,2021,0.04973821989528794,0.7104098587982781,0.34910339565051507
minnesota,2022,0.0523560209424084,0.7900784989931389,0.40652422739412436
mississippi,2010,0.36387434554973813,0.23019136390493303,0.16024418161007248
mississippi,2011,0.3743455497382199,0.24028409159421688,0.18084700495993897
mississippi,2012,0.3926701570680628,0.24226163919402877,0.21308660816482258
mississippi,2013,0.40314136125654443,0.2440583135377603,0.20545593285005723
mississippi,2014,0.4005235602094241,0.2492795215299466,0.22148035101106447
mississippi,2015,0.39790575916230364,0.25170322316142335,0.1985883250667684
mississippi,2016,0.3926701570680628,0.26210946449457984,0.1911484166348722
mississippi,2017,0.3717277486910994,0.27996768397824695,0.1934376192293018
mississippi,2018,0.3534031413612565,0.29875438617645994,0.1816100724914155
mississippi,2019,0.3403141361256544,0.3170105268235039,0.19038534910339566
mississippi,2020,0.3219895287958115,0.3342537772364978,0.20831743609309425
mississippi,2021,0.3167539267015706,0.3656051416237595,0.2479969477298741
mississippi,2022,0.31151832460732976,0.4123186745607794,0.2846241892407478
missouri,2010,0.17539267015706805,0.3312512811855639,0.1659671880961465
missouri,2011,0.18324607329842932,0.3425860052332662,0.20736360167874857
missouri,2012,0.20157068062827224,0.3441656316697013,0.23884013735215567
missouri,2013,0.21465968586387432,0.34473236787208644,0.253529187333079
missouri,2014,0.21727748691099477,0.34936272322774353,0.2531476535673407
missouri,2015,0.21727748691099477,0.3542945340102013,0.23254483021747424
missouri,2016,0.20942408376963348,0.37141720225247493,0.20564669973292637
missouri,2017,0.19109947643979056,0.3949186673258492,0.1827546737886303
missouri,2018,0.18062827225130887,0.4192521493771931,0.1714994276993514
missouri,2019,0.1675392670157068,0.4421748200311102,0.19553605494086226
missouri,2020,0.14921465968586387,0.4642292990558416,0.21060663868752386
missouri,2021,0.14397905759162305,0.5094837877271466,0.30579931323922166
missouri,2022,0.14397905759162305,0.5682917123874064,0.36131247615413964
montana,2010,0.18848167539267013,0.3024321423834272,0.24322777565814574
montana,2011,0.19109947643979056,0.3199406735720056,0.2682182373140023
montana,2012,0.19633507853403143,0.3215323582255128,0.3046547119420069
montana,2013,0.20680628272251306,0.33086541823925913,0.31190385349103394
montana,2014,0.20942408376963348,0.33732862258986385,0.28615032430370085
montana,2015,0.20680628272251306,0.34218808406988943,0.2809996184662343
montana,2016,0.19895287958115182,0.35679058494411015,0.26058756199923694
montana,2017,0.18586387434554974,0.3859835284754796,0.25677222434185426
montana,2018,0.1675392670157068,0.4071818740880973,0.2947348340328119
montana,2019,0.1518324607329843,0.43625423544874653,0.3151468904998092
montana,2020,0.14397905759162305,0.4551735780347518,0.29721480351011065
montana,2021,0.13612565445026178,0.5036596688813592,0.41758870660053415
montana,2022,0.13350785340314136,0.5733682217747283,0.5093475772605875
nebraska,2010,0.11780104712041886,0.36839058976739697,0.1529950400610454
nebraska,2011,0.12303664921465968,0.3847053574658451,0.19553605494086226
nebraska,2012,0.13350785340314136,0.39297729437725337,0.19935139259824494
nebraska,2013,0.14397905759162305,0.3964862355452123,0.21728347958794353
nebraska,2014,0.14659685863874347,0.40526461757364557,0.21404044257916827
nebraska,2015,0.1413612565445026,0.41246337316564374,0.21194200686760778
nebraska,2016,0.13350785340314136,0.4291881202445406,0.1890499809233117
nebraska,2017,0.12303664921465968,0.456813495556547,0.1781762685997711
nebraska,2018,0.112565445026178,0.4862476034293569,0.19152995040061047
nebraska,2019,0.09947643979057591,0.5142588416876681,0.18695154521175125
nebraska,2020,0.08115183246073299,0.5332625917931775,0.19362838611217092
nebraska,2021,0.07853403141361258,0.5770218615475515,0.23636016787485692
nebraska,2022,0.08115183246073299,0.638253487839288,0.30961465089660434
nevada,2010,0.12041884816753927,0.4453702475551965,0.4027088897367417
