state,year,below_poverty_line_percent,median_household_income,mean cash public assistance income (dollars),"agriculture, forestry, fishing and hunting, and mining",construction,manufacturing,wholesale trade,retail trade,"transportation and warehousing, and utilities",information,"finance and insurance, and real estate and rental and leasing","professional, scientific, and management, and administrative and waste management services","educational services, and health care and social assistance","arts, entertainment, and recreation, and accommodation and food services","other services, except public administration",public administration,private wage and salary workers,government workers,self-employed in own not incorporated business workers,unpaid family workers
tennessee,2014,0.09162303664921466,0.1038212489901243,0.07662469795243546,0.005494505494505495,0.044289044289044295,0.05113880532874947,0.05361305361305361,0.06368899917287013,0.039702233250620354,0.01923076923076923,0.02417582417582418,0.013084853291038855,0.0457235072619688,0.008906882591093113,0.012362637362637367,0.007583965330444202,0.16577540106951857,0.059880239520958084,0.10563380281690143,0.05
tennessee,2015,0.08987783595113437,0.10622485359314772,0.07052015770062317,0.005494505494505495,0.04195804195804197,0.051568543188654926,0.05128205128205129,0.06368899917287013,0.04094292803970224,0.01923076923076923,0.02417582417582418,0.013877874702616973,0.04464766003227542,0.009311740890688262,0.012362637362637367,0.007042253521126762,0.17112299465240635,0.05538922155688622,0.10563380281690143,0.05
tennessee,2016,0.08638743455497382,0.11167114830401177,0.06657764212132773,0.005494505494505495,0.04312354312354312,0.05113880532874947,0.04895104895104896,0.06368899917287013,0.04094292803970224,0.01923076923076923,0.02417582417582418,0.014274385408406028,0.04410973641742872,0.009716599190283403,0.012362637362637367,0.007042253521126762,0.17379679144385024,0.05389221556886227,0.09859154929577466,0.05
tennessee,2017,0.0820244328097731,0.1202485600479113,0.06517868498028742,0.005494505494505495,0.04312354312354312,0.051568543188654926,0.04895104895104896,0.06286186931348221,0.04218362282878412,0.016826923076923076,0.02417582417582418,0.014670896114195083,0.04357181280258204,0.010526315789473682,0.012362637362637367,0.006500541711809315,0.17647058823529413,0.049401197604790406,0.10211267605633803,0.05
tennessee,2018,0.07678883071553229,0.12934849453159855,0.06301666030777058,0.005494505494505495,0.044289044289044295,0.051568543188654926,0.04895104895104896,0.06203473945409429,0.04342431761786601,0.016826923076923076,0.025274725274725275,0.015067406819984138,0.04357181280258204,0.010526315789473682,0.010989010989010986,0.0059588299024918735,0.18048128342245986,0.04640718562874251,0.10211267605633803,0.05
tennessee,2019,0.06893542757417102,0.13878605909330247,0.06397049472211624,0.005494505494505495,0.045454545454545456,0.05113880532874947,0.04895104895104896,0.059553349875930514,0.044665012406947896,0.01442307692307692,0.025274725274725275,0.015860428231562255,0.04303388918773533,0.01133603238866397,0.010989010989010986,0.0054171180931744285,0.1818181818181817,0.04491017964071856,0.09859154929577466,0.05
tennessee,2020,0.06369982547993018,0.1448674199032931,0.06734070965280427,0.005494505494505495,0.046620046620046623,0.05070906746884401,0.046620046620046623,0.05872622001654259,0.04714640198511166,0.01201923076923077,0.026373626373626377,0.015860428231562255,0.04357181280258204,0.010526315789473682,0.010989010989010986,0.0059588299024918735,0.18048128342245986,0.04491017964071856,0.10211267605633803,0.05
tennessee,2021,0.06108202443280977,0.15967089106204757,0.08552715248632838,0.004884004884004885,0.047785547785547784,0.05113880532874947,0.046620046620046623,0.05707196029776675,0.048387096774193554,0.01201923076923077,0.027472527472527472,0.016653449643140365,0.04410973641742872,0.009716599190283403,0.010989010989010986,0.0054171180931744285,0.17914438502673782,0.04640718562874251,0.10563380281690143,0.05
tennessee,2022,0.05846422338568935,0.18185399106888056,0.1111535037517487,0.004884004884004885,0.048951048951048945,0.05070906746884401,0.044289044289044295,0.059553349875930514,0.049627791563275445,0.01201923076923077,0.028571428571428567,0.017446471054718478,0.04195804195804197,0.008906882591093113,0.010989010989010986,0.0059588299024918735,0.17914438502673782,0.04491017964071856,0.10211267605633803,0.05
texas,2010,0.08289703315881326,0.12401876258576407,0.08438255118911357,0.017094017094017092,0.06993006993006994,0.03695745595186936,0.06526806526806526,0.05789909015715467,0.03349875930521092,0.026442307692307696,0.03736263736263737,0.018239492466296588,0.03388918773534158,0.004858299595141697,0.016483516483516487,0.007042253521126762,0.15641711229946526,0.06586826347305387,0.11619718309859156,0.05
texas,2011,0.08464223385689353,0.1291394854356835,0.10053414727203358,0.017094017094017092,0.06643356643356645,0.03652771809196391,0.06293706293706294,0.05789909015715467,0.03225806451612903,0.02403846153846154,0.03626373626373626,0.018636003172085643,0.03604088219472834,0.005263157894736845,0.017857142857142856,0.007042253521126762,0.15909090909090895,0.06586826347305387,0.11267605633802817,0.05
texas,2012,0.08813263525305408,0.13172396329478722,0.10918224596210098,0.017704517704517704,0.06410256410256411,0.03609798023205845,0.060606060606060615,0.05872622001654259,0.03225806451612903,0.01923076923076923,0.035164835164835165,0.019032513877874697,0.03765465303926842,0.006072874493927126,0.017857142857142856,0.007583965330444202,0.16176470588235284,0.06437125748502992,0.10563380281690143,0.05
texas,2013,0.08987783595113437,0.13307850301254456,0.10886430115731908,0.018315018315018316,0.06177156177156178,0.03566824237215299,0.05827505827505827,0.05872622001654259,0.029776674937965267,0.016826923076923076,0.03406593406593406,0.019429024583663763,0.038730500268961805,0.006882591093117406,0.019230769230769235,0.007583965330444202,0.16443850267379673,0.06287425149700598,0.10211267605633803,0.0
texas,2014,0.0907504363001745,0.13579562125944059,0.10581203103141294,0.019536019536019536,0.0606060606060606,0.03523850451224753,0.05827505827505827,0.05872622001654259,0.029776674937965267,0.016826923076923076,0.03406593406593406,0.019825535289452818,0.0392684238838085,0.007287449392712553,0.019230769230769235,0.007042253521126762,0.16844919786096246,0.059880239520958084,0.09859154929577466,0.05
texas,2015,0.08726003490401396,0.13833186625025623,0.09334859468396285,0.020146520146520148,0.0606060606060606,0.034379028792436615,0.05827505827505827,0.05872622001654259,0.031017369727047148,0.016826923076923076,0.03406593406593406,0.020618556701030927,0.03819257665411512,0.007692307692307694,0.017857142857142856,0.006500541711809315,0.17647058823529413,0.05239520958083833,0.09507042253521127,0.05
